"track","track_label","icd9","group","partners","mean","sd","min","q1","median","q3","max","total","icd9_label","ccs_id","ccs_category"
"10_9","ICD-9-CM to ICD-10-CA","311","has a reference match",877,349.446978335234,1710.55617500162,7,18,49,164,31953,306465,"depressive disorder not elsewhere classified","43","mood and anxiety disorders"
"10_9","ICD-9-CM to ICD-10-CA","312","has a reference match",159,47.8616352201258,82.9157325765234,7,10,18,41.5,603,7610,"disturbance of conduct not elsewhere classified","48","attentiondeficit conduct and disruptive behavior disorders"
"10_9","ICD-9-CM to ICD-10-CA","314","has a reference match",178,73.4831460674157,232.661904619628,7,11,18,39.75,2699,13080,"hyperkinetic syndrome of childhood","48","attentiondeficit conduct and disruptive behavior disorders"
"10_9","ICD-9-CM to ICD-10-CA","315","has a reference match",70,20.9428571428571,17.5300038561515,7,9.25,16,24.75,96,1466,"specific delays in development","49","developmental disorders"
"10_9","ICD-9-CM to ICD-10-CA","316","has a reference match",NA,NA,NA,NA,NA,NA,NA,NA,NA,"psychic factors associated with diseases classified elsewhere","46","miscellaneous mental health disorders"
"10_9","ICD-9-CM to ICD-10-CA","317","has a reference match",40,34.2,42.0086682141699,7,9,17,40,198,1368,"mild intellectual disabilities","49","developmental disorders"
"10_9","ICD-9-CM to ICD-10-CA","318","has a reference match",61,23.4098360655738,24.6308594038592,7,9,14,25,136,1428,"other specified intellectual disabilities","49","developmental disorders"
"10_9","ICD-9-CM to ICD-10-CA","319","has a reference match",97,45.8041237113402,68.9454251526853,7,11,19,39,419,4443,"unspecified intellectual disabilities","49","developmental disorders"
"10_9","ICD-9-CM to ICD-10-CA","330","has a reference match",42,22.452380952381,25.4483718209857,7,9,13,26.25,147,943,"cerebral degenerations usually manifest in childhood","50","other nervous system conditions"
"10_9","ICD-9-CM to ICD-10-CA","331","has a reference match",448,122.332589285714,343.684963973243,7,14,31,81.25,3800,54805,"other cerebral degenerations","40","delirium dementia and other cognitive disorders"
"10_9","ICD-9-CM to ICD-10-CA","332","has a reference match",422,145.075829383886,599.425293987792,7,13,30,97,10620,61222,"parkinsons disease","51","parkinsons disease"
